address,ALD,NSP,POLICE,TRACT,WARD,ZIP,Arson,Assault,Burglary,CriminalDamage,Homicide,Robbery,SexOffense,Theft,VehicleTheft
2846 N 1ST ST,6.0,6.0,5.0,185700.0,118.0,53212.0,0,0,0,1,0,0,0,0,0
747 N OLD WORLD THIRD ST,4.0,,1.0,186300.0,185.0,53203.0,0,0,0,0,0,0,0,1,0
2933 N 18TH ST,6.0,4.0,5.0,6600.0,108.0,53206.0,0,1,0,0,0,0,0,0,0
7826 W FLORIST AV,2.0,2.0,4.0,1500.0,27.0,53218.0,0,1,0,0,0,0,0,0,0
1700 W NATIONAL AV,8.0,15.0,2.0,15800.0,222.0,53204.0,0,0,0,0,0,1,0,0,0
1437 W MINERAL ST,12.0,16.0,2.0,15700.0,228.0,53204.0,0,1,0,0,0,0,0,0,0
5458 N 56TH ST,2.0,2.0,4.0,1900.0,44.0,53218.0,0,1,0,0,0,0,0,0,0
1305 N BROADWAY,4.0,,1.0,11300.0,162.0,53202.0,0,0,0,1,0,0,0,0,0
2824 N 17TH ST,15.0,10.0,5.0,8600.0,330.0,53206.0,0,0,0,0,0,0,0,0,0
3709 W NATIONAL AV,8.0,15.0,2.0,16000.0,210.0,53215.0,0,0,0,0,0,0,0,0,1
11330 W METRO AUTO MALL,5.0,19.0,4.0,302.0,33.0,53224.0,0,0,0,0,0,0,0,0,0
2856 N 26TH ST,15.0,9.0,5.0,8800.0,143.0,53206.0,0,1,0,0,0,0,0,0,0
2445 N 49TH ST,15.0,5.0,3.0,9200.0,154.0,53210.0,0,0,0,0,0,0,0,0,1
100 E MONTANA ST,14.0,,6.0,18400.0,310.0,53207.0,0,0,0,0,0,0,0,0,0
1234 N 34TH ST,4.0,14.0,3.0,12200.0,196.0,53208.0,0,0,0,0,1,0,0,0,0
1234 N 34TH ST,4.0,14.0,3.0,12200.0,196.0,53208.0,0,0,0,0,1,0,0,0,0
,8.0,15.0,2.0,15900.0,210.0,53215.0,0,0,0,0,0,0,1,0,0
811 N 14TH ST,4.0,14.0,3.0,14600.0,186.0,53233.0,0,0,0,1,0,0,0,0,0
2411 N 37TH ST,15.0,8.0,3.0,9000.0,151.0,53210.0,1,0,0,0,0,0,0,0,0
3013 W NORTH AV,15.0,8.0,3.0,8900.0,147.0,53208.0,0,0,0,0,0,1,0,0,0
8227 W HOPE AV,5.0,,7.0,3400.0,72.0,53222.0,0,0,0,0,0,0,0,0,1
2130 N 38TH ST,15.0,11.0,3.0,9000.0,151.0,53208.0,0,1,0,0,0,0,0,0,0
7421 W CONGRESS ST,2.0,,7.0,3200.0,70.0,53218.0,0,0,0,0,0,0,0,0,1
1222 W WASHINGTON ST,12.0,16.0,2.0,15700.0,228.0,53204.0,0,1,0,0,0,0,0,0,0
637 W KNEELAND ST,6.0,13.0,5.0,14100.0,172.0,53205.0,0,0,0,0,0,0,0,1,0
346 N BROADWAY,4.0,,1.0,187400.0,182.0,53202.0,0,0,0,0,0,0,0,0,1
2235 N VEL R PHILLIPS AV,6.0,6.0,5.0,185600.0,138.0,53212.0,0,1,0,0,0,0,0,0,0
5461 N 64TH ST,2.0,2.0,4.0,1800.0,42.0,53218.0,0,1,0,0,0,0,0,0,0
4226 N 19TH ST,1.0,4.0,5.0,4300.0,57.0,53209.0,0,1,0,0,0,0,0,0,0
2900 S SHORE DR,14.0,,6.0,18200.0,239.0,53207.0,0,0,0,0,0,0,0,1,0
1409 W CLAYTON CREST AV,13.0,,6.0,21600.0,298.0,53221.0,0,0,0,1,0,0,0,0,0
5979 N 117TH ST,5.0,,4.0,301.0,33.0,53225.0,0,1,0,0,0,0,0,0,0
2009 W GREENFIELD AV,8.0,15.0,2.0,16300.0,220.0,53204.0,0,0,0,0,0,0,0,0,1
1925 N WATER ST,3.0,,1.0,11200.0,353.0,53202.0,0,0,1,0,0,0,0,0,0
2800 W FAIRMOUNT AV,1.0,3.0,7.0,2400.0,51.0,53209.0,0,1,0,0,1,0,0,0,0
1713 W HIGHLAND AV,4.0,12.0,3.0,14700.0,188.0,53233.0,0,1,0,0,0,0,0,0,0
,2.0,2.0,4.0,1200.0,25.0,53218.0,0,1,0,0,0,0,0,0,0
4520 W FILLMORE DR,11.0,,6.0,19000.0,253.0,53219.0,0,0,0,0,0,0,0,0,1
3229 S ADAMS AV,14.0,,6.0,20600.0,285.0,53207.0,0,0,0,0,0,0,0,1,0
4300 W CAPITOL DR,7.0,1.0,7.0,4000.0,63.0,53216.0,0,1,0,0,0,0,0,0,0
2025 W MINERAL ST,8.0,15.0,2.0,15800.0,306.0,53204.0,0,0,0,1,0,0,0,0,0
2751 N 39TH ST,15.0,5.0,7.0,6200.0,149.0,53210.0,0,0,0,0,1,0,0,0,0
4419 N 57TH ST,7.0,,7.0,3100.0,65.0,53218.0,0,1,0,0,0,0,0,0,0
2734 N 41ST ST,15.0,5.0,7.0,6200.0,149.0,53210.0,0,1,0,0,0,0,0,0,0
1030 S 2ND ST,12.0,16.0,2.0,186500.0,223.0,53204.0,0,0,0,0,0,0,0,0,0
3500 W CLYBOURN ST,10.0,14.0,3.0,13400.0,193.0,53208.0,0,1,0,0,0,0,0,0,0
1538 S LAYTON BL,8.0,15.0,2.0,16200.0,217.0,53215.0,0,0,0,0,0,0,0,1,0
8040 W DENVER AV,9.0,,4.0,304.0,9.0,53223.0,0,1,0,1,0,0,0,0,0
2057 S 17TH ST,12.0,15.0,2.0,16900.0,225.0,53204.0,0,1,0,0,0,0,0,0,0
2536 N 23RD ST,15.0,9.0,3.0,8700.0,145.0,53206.0,0,0,1,0,0,0,0,0,0
2836 N 52ND ST,7.0,5.0,7.0,5900.0,324.0,53210.0,0,1,0,0,0,0,0,0,0
1242 N 13TH ST,4.0,12.0,3.0,186200.0,188.0,53205.0,0,1,0,0,0,0,0,0,0
1666 W NORTH AV,15.0,10.0,3.0,185400.0,144.0,53205.0,0,0,1,0,0,0,0,0,0
2605 W CAPITOL DR,1.0,4.0,5.0,4200.0,57.0,53206.0,0,0,0,0,0,0,0,0,1
11414 W PARK PL,9.0,,4.0,202.0,8.0,53224.0,0,0,0,0,0,0,0,0,1
618 N 30TH ST,10.0,14.0,3.0,13400.0,193.0,53208.0,0,1,0,0,0,0,0,0,0
5021 W HOWARD AV,11.0,,6.0,19900.0,349.0,53220.0,0,0,0,0,0,0,0,1,0
807 S 29TH ST,8.0,15.0,2.0,15900.0,222.0,53215.0,0,1,0,0,0,0,0,0,0
2180 N COMMERCE ST,3.0,7.0,5.0,10700.0,133.0,53212.0,0,0,0,0,0,0,0,0,1
4928 N 72ND ST,2.0,,7.0,3000.0,41.0,53218.0,0,0,0,1,0,0,0,0,0
3006 W MICHIGAN ST,10.0,14.0,3.0,13400.0,193.0,53208.0,0,1,0,0,0,0,0,0,0
2950 S CHASE AV,14.0,,6.0,18400.0,347.0,53207.0,0,0,0,0,0,0,0,1,0
1801 W OLIVE ST,1.0,4.0,5.0,4300.0,57.0,53209.0,0,1,0,1,0,0,0,0,0
3858 S MINER ST,,,6.0,20000.0,312.0,53221.0,0,1,0,0,0,0,0,0,0
1555  N DOCTOR MLK JR DR,,,,,,,0,0,0,0,0,0,0,0,1
921 S 19TH ST,12.0,15.0,2.0,15800.0,305.0,53204.0,0,1,0,0,0,0,0,0,0
5709 N 39TH ST,1.0,,4.0,1000.0,22.0,53209.0,0,0,1,0,0,0,0,0,0
1722 S 15TH ST,12.0,16.0,2.0,16800.0,225.0,53204.0,0,1,0,0,0,0,0,0,0
8680 W SILVER SPRING DR,2.0,2.0,4.0,1500.0,30.0,53225.0,0,1,0,0,0,0,0,0,0
4225 W NORTH AV,15.0,5.0,3.0,9100.0,152.0,53208.0,0,0,1,0,0,0,0,0,0
625 S 5TH ST,12.0,16.0,2.0,186500.0,230.0,53204.0,0,0,0,0,0,0,0,1,0
1438 E BRADY ST,3.0,,1.0,10800.0,174.0,53202.0,0,0,0,0,0,0,0,1,0
1438 E BRADY ST,3.0,,1.0,10800.0,174.0,53202.0,0,0,0,0,0,0,0,1,0
1438 E BRADY ST,3.0,,1.0,10800.0,174.0,53202.0,0,0,0,0,0,0,0,1,0
3012 N 44TH ST,7.0,5.0,7.0,4900.0,100.0,53210.0,0,1,0,0,0,0,0,0,0
9045 N 84TH ST,9.0,,4.0,101.0,3.0,53223.0,0,1,0,0,0,0,0,0,0
8626 W APPLETON AV,2.0,,7.0,1700.0,38.0,53225.0,0,0,0,0,0,0,0,0,1
8040 W DENVER AV,9.0,,4.0,304.0,9.0,53223.0,0,1,0,0,0,0,0,0,0
11414 W PARK PL,9.0,,4.0,202.0,8.0,53224.0,0,0,0,0,0,0,0,1,0
4915 N 52ND ST,1.0,,7.0,2900.0,45.0,53218.0,0,1,0,0,0,0,0,0,0
105 W MEINECKE AV,6.0,6.0,5.0,185600.0,137.0,53212.0,0,1,0,0,0,0,0,0,0
2859 N OAKLAND AV,3.0,,1.0,7800.0,124.0,53211.0,0,1,0,0,0,0,0,0,0
1326 N ASTOR ST,4.0,,1.0,11000.0,180.0,53202.0,0,0,0,1,0,0,0,0,0
113 E JUNEAU AV,4.0,,1.0,11300.0,158.0,53202.0,0,0,0,1,0,0,0,0,0
2006 N 30TH ST,15.0,11.0,3.0,9800.0,146.0,53208.0,0,1,0,0,0,0,0,0,0
1434 N VEL R PHILLIPS AV,6.0,13.0,1.0,14100.0,172.0,53212.0,0,0,0,0,0,0,0,1,0
3012 N 44TH ST,7.0,5.0,7.0,4900.0,100.0,53210.0,0,1,0,0,0,0,0,0,0
,14.0,17.0,2.0,17600.0,309.0,53215.0,0,0,0,0,0,0,1,0,0
3069 N 26TH ST,7.0,4.0,5.0,6400.0,106.0,53206.0,0,1,0,0,0,0,0,0,0
